,A_index,BIN_LABEL,C_flare,DAY,ID,K_index,LABEL,N_PAIRS,N_STATIONS,PAIRS,STATIONS,TIME,YEAR,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,network,new_regions,prn,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area
33,4,0.0,11,17,33,4,3.0,3,4,"'cxecqvec', 'cxecerec', 'epeccxec'","'erec', 'qvec', 'cxec', 'epec'",7170,2014,5.55521735844,9.18451821419,65.3132210503,429.709013627,46.2172576699,12.5745967923,32.790536182,44.8272974272,12.9190988747,4.18208846129,0.00502353124174,7.47046330075,3.9143301032,regme,3,GPS 1,129,80.5836977175,6.2027507958,95,360
34,4,0.0,11,17,34,4,3.0,3,5,"'epecquem', 'maecalec', 'epeccxec'","'maec', 'alec', 'quem', 'cxec', 'epec'",780,2014,0.946128868221,11.5056713469,71.7841845068,352.8945824,14.7095906862,1.47699644344,37.4898705556,61.6435214463,1.42702048483,5.61364686853,0.111076881526,-4.17114791905,0.553370704437,regme,3,GPS 11,129,21.5996770336,3.92224569806,95,360
35,4,0.0,11,17,35,4,3.0,3,5,"'epecquem', 'ljecgzec', 'epeccxec'","'ljec', 'gzec', 'quem', 'cxec', 'epec'",9030,2014,1.68238309958,9.32521555407,34.6486422543,791.440557227,12.2877408298,8.09007376691,29.7369213804,67.3997713738,8.10633090664,8.80791345861,0.0812271481345,-3.96780097028,1.12399323913,regme,3,GPS 14,129,69.5774408651,2.9095946339,95,360
36,4,1.0,11,17,36,4,2.0,7,9,"'cxecquem', 'cxecerec', 'cxectnec', 'quemibec', 'njecgyec', 'cxecqvec', 'ibeccoec'","'coec', 'gyec', 'cxec', 'njec', 'quem', 'ibec', 'erec', 'qvec', 'tnec'",6300,2014,4.3868909954,14.4660472633,86.2766421539,721.422498876,49.8381355106,-0.643460124217,44.7369955618,36.8839432209,-0.578367556295,3.12637144063,0.0141411314752,-17.2360757853,3.05301495735,regme,3,GPS 19,129,71.7901390499,5.15884673896,95,360
37,4,1.0,11,17,37,4,1.0,3,6,"'ibeccoec', 'erecalec', 'epeccxec'","'coec', 'cxec', 'ibec', 'epec', 'erec', 'alec'",4650,2014,1.87795716858,14.7400301954,69.4986073638,304.588028599,29.095954418,11.3755481907,45.2310457242,28.0876991547,11.4308492801,3.07731568842,0.0210332076252,5.45021786778,1.14143316327,regme,3,GPS 27,129,31.5594928502,2.9806695558,95,360
38,4,0.0,11,17,38,1,3.0,6,7,"'cxecquem', 'cxecqvec', 'cxectnec', 'ececqvec', 'epeccxec', 'cxecerec'","'ecec', 'cxec', 'quem', 'epec', 'erec', 'qvec', 'tnec'",18540,2014,3.46634541264,21.0014484669,69.6654761506,213.5329099,22.3273930669,11.0157960697,44.1757087604,21.312682625,10.8989956623,3.23290185391,6.52230563414e-05,4.12487414454,1.35313291755,regme,3,GPS 27,129,29.0630245047,2.6086760603,95,360
39,4,0.0,11,17,39,1,3.0,3,5,"'cxecqvec', 'njecgyec', 'cxecerec'","'njec', 'erec', 'gyec', 'cxec', 'qvec'",20580,2014,3.0438934812,12.6164956265,66.1723357184,424.620717596,27.1251824704,-0.417372666621,33.4876853225,45.8270078627,-0.434721552643,6.29035609774,0.629111127344,-23.1717524095,3.219595477,regme,3,GPS 28,129,72.938458059,5.34296513348,95,360
40,4,0.0,11,17,40,1,3.0,4,5,"'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'","'erec', 'qvec', 'cxec', 'tnec', 'epec'",81900,2014,5.72030305703,17.943309374,64.3070917976,545.511308745,59.8340286047,12.383679831,30.366713771,32.7259407056,12.4779156597,3.67799537361,0.00360064687922,-27.9561989567,3.28783660403,regme,3,GPS 29,129,84.0431428484,7.01293126225,95,360
41,4,1.0,11,17,41,4,2.0,3,5,"'quemibec', 'ibeccoec', 'njecgyec'","'njec', 'gyec', 'coec', 'quem', 'ibec'",6930,2014,-0.319775197323,9.94430769667,86.0327849857,70.1347398482,16.7769102336,7.26922524964,46.7931972447,11.9446930991,7.26783565841,3.6054221779,0.000450897687298,0.991996593655,0.389809338883,regme,3,GPS 3,129,8.16975491512,3.18963209653,95,360
42,4,1.0,11,17,42,4,2.0,3,4,"'epecibec', 'epecquem', 'epeccxec'","'ibec', 'quem', 'cxec', 'epec'",7650,2014,-0.617513934265,17.9783353933,85.6602120673,410.015754299,15.8199578808,6.98786561309,47.5487892314,58.7327125799,7.01378712563,6.50788014653,0.132897331298,0.991996593655,0.618870580665,regme,3,GPS 3,129,17.9280583994,3.26965881659,95,360
43,4,1.0,11,17,43,4,2.0,3,4,"'quemibec', 'epecquem', 'ibeccoec'","'coec', 'quem', 'ibec', 'epec'",4770,2014,-0.821434860394,4.48417967851,67.1355231405,202.578476999,14.4136009144,7.50272211392,44.1501729865,52.9903592474,7.49324829347,3.37913211531,0.0612694144833,1.93700932503,0.3520299343,regme,3,GPS 6,129,13.7406529906,2.61758834684,95,360
44,4,0.0,11,17,44,1,3.0,2,3,"'cxecqvec', 'epeccxec'","'qvec', 'cxec', 'epec'",74910,2014,0.51163304048,30.8741093424,34.9603481348,247.402771796,45.2689195283,17.8998534307,16.4934469018,25.7191168915,18.1493447181,5.51653975589,2.52606497404,9.62960360034,1.54676350287,regme,3,GPS 6,129,28.5603855071,4.98147567072,95,360
45,4,0.0,11,17,45,1,3.0,2,4,"'epecquem', 'ececqvec'","'quem', 'qvec', 'ecec', 'epec'",77160,2014,-0.825109364458,0.961589510785,34.9603481348,317.967986319,45.447141941,19.5884291919,14.9607542998,123.59959498,20.2825933102,2.98724899671,1.64586903816,9.19317228995,1.9617250062,regme,3,GPS 6,129,63.6982776105,5.99673714169,95,360
46,2,0.0,7,18,46,2,3.0,4,6,"'cxecqvec', 'njecgyec', 'cxecerec', 'epeccxec'","'gyec', 'cxec', 'njec', 'epec', 'erec', 'qvec'",810,2014,1.31238286474,36.1116360529,65.3160956337,207.318884824,28.1466116222,13.1554020147,34.2130740114,13.2590762026,12.9240555647,2.79160168088,0.00427148830517,5.40215477816,1.9712115018,regme,2,GPS 1,130,30.259116225,4.75432308074,114,500
47,2,0.0,7,18,47,2,3.0,2,3,"'epecquem', 'epeccxec'","'quem', 'cxec', 'epec'",6690,2014,0.935948204184,6.21744422356,70.8993831746,734.880520968,16.5882710818,1.12703836093,37.3626782178,103.421757561,1.10807843111,5.61234293302,0.00978156314967,-7.05194848053,1.10676886525,regme,2,GPS 11,130,75.6689542335,4.61309990293,114,500
48,2,0.0,7,18,48,2,3.0,2,4,"'quemibec', 'ececqvec'","'quem', 'ecec', 'ibec', 'qvec'",9930,2014,2.99755541956,20.8477192544,71.1696822744,626.739889134,26.1314606986,0.990079088804,36.5999963985,34.7707420034,0.742274232011,5.04499649456,0.13479583581,-35.4401322653,2.21296534241,regme,2,GPS 11,130,51.8339482402,5.37663707322,114,500
