,A_index,C_flare,K_index,N_PAIRS,N_STATIONS,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,new_regions,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area,bucket_grad,bucket_grad_mean,k_index_bucket,elev_min_bucket,elev_mean_bucket,elev_max_bucket,grad_elev,BIN_LABEL,LABEL,prn,network,STATIONS,PAIRS,ID,YEAR,DAY,TIME
29,10,9,2,3,4,8.31235372348,17.0668684361,68.704741536,397.603463893,18.5251465927,9.23699555077,36.0728285683,21.6265335875,8.92120425429,5.46325428166,0.00190496959216,-24.9855230912,2.85918044937,0,182,64.325502317,5.46133500627,162,1570,3,1,2,0,2,3,32,0.0,3.0,GPS 26,regme,"'erec', 'cxec', 'tnec', 'epec'","'cxecepec', 'cxecerec', 'cxectnec'",25,2014,3,41040
30,10,9,2,2,3,11.5227659956,29.8763967106,67.7412673203,299.917286456,18.0552288819,9.06012509938,36.769309352,25.3841789963,8.81430079027,6.06381494044,0.0087423809865,-24.9855230912,2.43205296531,0,182,44.860456419,4.86175174235,162,1570,3,1,2,0,2,3,32,0.0,3.0,GPS 26,regme,"'qvec', 'quem', 'cxec'","'cxecquem', 'cxecqvec'",26,2014,3,41940
31,10,9,3,3,4,-0.00671403498647,4.22655489775,14.7365954973,135.835520791,29.5684558233,24.5631161636,9.9130254215,30.416423392,24.7726446672,4.66022720722,14.3451362483,19.1443271886,2.39260606015,0,182,30.6055796634,2.36219560749,162,1570,2,1,2,0,0,0,20,0.0,3.0,GPS 27,regme,"'qvec', 'cxec', 'tnec', 'epec'","'cxecepec', 'cxecqvec', 'cxectnec'",27,2014,3,81420
32,10,9,10,2,4,3.83590883576,18.2475357317,84.9925837033,666.007144935,66.3277871677,7.27012522476,42.9145833588,66.5474107663,7.46068840095,2.37402058637,0.222068992626,-29.0399071211,2.08855503949,0,182,56.8513389124,6.66158828321,162,1570,4,2,4,0,2,3,42,0.0,3.0,GPS 3,regme,"'njec', 'epec', 'quem', 'mhec'","'quemepec', 'mhecnjec'",28,2014,3,420
33,10,9,2,2,3,6.73365427997,17.7504271572,58.9749345801,950.042507986,74.2184932615,4.61964149449,31.923588681,65.2246170608,5.76938529041,2.19323700806,13.3437535714,-16.6175908963,7.46590064403,0,182,164.422139027,11.1884781652,162,1570,4,2,2,0,2,2,42,0.0,3.0,GPS 4,regme,"'njec', 'clec', 'mhec'","'mhecclec', 'mhecnjec'",29,2014,3,26520
34,10,9,3,6,7,5.51753081224,29.2635846436,58.7745908484,918.385654157,89.5953650415,8.56728884401,27.9006977456,33.8007204212,8.66626659013,3.73891408195,0.000491330420741,-30.1818076719,4.99962884378,0,182,125.277212483,12.8997705904,162,1570,4,1,2,0,1,2,41,0.0,3.0,GPS 4,regme,"'ecec', 'cxec', 'quem', 'epec', 'erec', 'qvec', 'tnec'","'cxecquem', 'cxecepec', 'cxecerec', 'cxectnec', 'ececqvec', 'cxecqvec'",30,2014,3,60450
35,10,9,3,2,4,-1.0330376528,5.45557430245,23.0447847513,319.089531491,30.4978288826,20.7442087299,12.4401169212,97.7385634335,20.9738332381,5.34529502569,2.57839304774,13.8089061803,1.21764185362,0,182,43.3984787382,3.73796137779,162,1570,3,2,2,0,0,1,30,0.0,3.0,GPS 6,regme,"'ljec', 'epec', 'quem', 'gzec'","'quemepec', 'ljecgzec'",31,2014,3,79320
36,10,9,3,5,7,7.49517538217,30.2297464067,73.0765705271,5628.70438227,79.3495334363,3.42105570088,37.1890708501,90.3176347992,3.61743838465,2.04470829786,0.000908381675859,-24.437740072,3.52898336813,0,182,287.819773184,8.66241489346,162,1570,5,2,2,0,2,3,52,0.0,3.0,GPS 9,regme,"'cxec', 'njec', 'quem', 'epec', 'qvec', 'clec', 'mhec'","'mhecclec', 'mhecnjec', 'cxecqvec', 'cxecepec', 'quemepec'",32,2014,3,49530
37,4,11,4,3,4,5.55521735844,9.18451821419,65.3132210503,429.709013627,46.2172576699,12.5745967923,32.790536182,44.8272974272,12.9190988747,4.18208846129,0.00502353124174,7.47046330075,3.9143301032,3,129,80.5836977175,6.2027507958,95,360,3,1,3,0,2,3,32,0.0,3.0,GPS 1,regme,"'erec', 'qvec', 'cxec', 'epec'","'cxecqvec', 'cxecerec', 'epeccxec'",33,2014,17,7170
38,4,11,4,3,5,0.946128868221,11.5056713469,71.7841845068,352.8945824,14.7095906862,1.47699644344,37.4898705556,61.6435214463,1.42702048483,5.61364686853,0.111076881526,-4.17114791905,0.553370704437,3,129,21.5996770336,3.92224569806,95,360,3,2,3,0,2,3,32,0.0,3.0,GPS 11,regme,"'maec', 'alec', 'quem', 'cxec', 'epec'","'epecquem', 'maecalec', 'epeccxec'",34,2014,17,780
